time,latitude,longitude
1701650689.1775541,nan,nan
1701650689.1791563,nan,nan
1701650689.1806521,nan,nan
1701650689.184187,nan,nan
1701650689.185889,nan,nan
1701650689.187707,nan,nan
1701650689.1902213,nan,nan
1701650689.1916058,nan,nan
1701650689.1930094,nan,nan
1701650689.1983197,nan,nan
1701650689.2003596,nan,nan
1701650689.2025373,nan,nan
1701650689.207185,nan,nan
1701650689.208379,nan,nan
1701650689.2098548,nan,nan
1701650689.211447,nan,nan
1701650689.2129955,nan,nan
1701650689.2143207,nan,nan
1701650689.2205527,nan,nan
1701650689.222034,nan,nan
1701650689.2233381,nan,nan
1701650689.22468,nan,nan
1701650689.225552,nan,nan
1701650689.2264533,nan,nan
1701650689.2286458,nan,nan
1701650689.2306838,nan,nan
1701650689.2319252,nan,nan
1701650689.2339082,nan,nan
1701650689.2369947,nan,nan
1701650689.2382367,nan,nan
1701650689.2406073,nan,nan
1701650689.2412121,nan,nan
1701650689.2447946,nan,nan
1701650689.246485,nan,nan
1701650689.2485118,nan,nan
1701650689.2495072,nan,nan
1701650689.251903,nan,nan
1701650689.2533913,nan,nan
1701650689.2595012,nan,nan
1701650689.2613459,nan,nan
1701650689.26398,nan,nan
1701650689.2674205,nan,nan
